"Date","Adjusted NVT 90-days MA","Adjusted RVT","Adjusted RVT 90-days MA","Sharpe Ratio","Total Fees","Average Transaction Fees","Average Transaction Fees (Native Units)","Median Transaction Fees","Median Transaction Fees (Native Units)","Average Gas Limit per Block"
"2022-04-13","","","","1.5400727321636853","","","","","",""
"2022-04-12","52.389841606239365","16.304683329605","32.08137195218235","1.0084854601795656","418747.11259424326","1.5332850731189713","0.00003824","0.4651178569084746","0.0000116",""
"2022-04-11","52.32701797943532","18.322428657688","32.45020543409751","1.2821170369300392","423801.8775914579","1.5176996865434362","0.00003838","0.42707547198199874","0.0000108",""
"2022-04-10","56.25066568828806","39.536684236231","32.69440823078536","2.601424726741431","284344.2313334999","1.3030134063445116","0.00003083","0.422644633909994","0.00001",""
"2022-04-09","56.7920785716174","65.015598163083","32.69344116936099","0.6206738539507174","338422.9611624981","1.481884137219796","0.00003472","0.521134945721593","0.00001221",""
"2022-04-08","56.28215463882541","21.635848504508","32.74693831022635","2.4872397468328344","495306.7909726967","1.8307489108516652","0.00004336","0.6628864829421389","0.0000157",""
"2022-04-07","58.68918948499413","27.017076833791","33.12361967797206","3.204082601423913","431968.1000484823","1.6233826975461407","0.00003726","0.5023511138676061","0.00001153",""
"2022-04-06","58.3774106541877","20.987362984424","33.15171371484702","3.111060139661088","436160.3726954783","1.6022826763632367","0.000037","0.5122974070642458","0.00001183",""
"2022-04-05","61.980413997308446","35.150818691887","33.40867924306685","3.6921282661761285","511541.44475073897","1.8528525717621576","0.00004055","0.5839569880917478","0.00001278",""
"2022-04-04","63.033886977413424","41.350015566583","33.27052380832638","3.467790251326435","586144.0541456004","2.1222334299740258","0.00004548","0.6766135605677963","0.0000145",""
"2022-04-03","62.69068237176948","48.045769556922","33.222706457938884","2.0564708247304555","480707.11109297886","2.149732774996411","0.00004629","0.8024925977951605","0.00001728",""
"2022-04-02","61.81257917757058","42.824428641421","33.096156639775444","1.3111960470206208","571820.1850423537","2.281834701320797","0.00004967","0.8489693030080194","0.00001848",""
"2022-04-01","62.45269930317539","19.096355754844","33.21634828364266","1.1776831311325129","906754.9074472466","3.1653730155400024","0.00006844","1.198808716580901","0.00002592",""
"2022-03-31","62.497554893416854","22.307685607473","33.7057340955345","1.4451795568493337","772954.3915705293","2.760158722180768","0.00006058","1.0502089558644223","0.00002305",""
"2022-03-30","64.85992172822854","27.969899382497","33.84355544577647","3.9616632881771725","533074.0415698828","1.978236014267444","0.00004198","0.6248549201807124","0.00001326",""
"2022-03-29","65.26304781651291","27.527881319981","33.78254120345044","3.2993698898619126","480671.87915589235","1.639396532246668","0.00003454","0.474637096770894","0.00001",""
"2022-03-28","64.78541890701378","20.515898499839","33.636072143476056","3.291965164281777","504752.84965270455","1.7416083184368454","0.00003688","0.48782033431270644","0.00001033",""
"2022-03-27","64.58360982022593","46.528705426051","33.76163688593265","2.8049039573446213","354287.8142711203","1.616620226453022","0.00003456","0.4715142327154647","0.00001008",""
"2022-03-26","61.15776751869174","61.643647879141","33.53974529122584","3.0358183957639424","358297.4171754755","1.559533038049931","0.00003503","0.503520372833135","0.00001131",""
"2022-03-25","60.87650240613613","20.184410017582","33.50636453646944","2.5969389458484087","563592.4148413959","1.9663474999601687","0.00004434","0.6297278867711862","0.0000142",""
"2022-03-24","61.03803276206816","20.388230665237","33.710533599978405","2.9350524404603098","514489.1915730644","1.9102563454736885","0.00004344","0.6244392289531855","0.0000142",""
"2022-03-23","59.706625620137316","34.221557556208","33.89670189800727","1.9065181478659123","463869.85397450195","1.7414186514504228","0.00004075","0.565373466470898","0.00001323",""
"2022-03-22","59.24463304756237","29.099609418097","33.8906875394424","1.251902408511636","456426.345404168","1.7508487328200169","0.00004131","0.5297896189845125","0.0000125",""
"2022-03-21","57.59398743355634","35.48817645213","33.97171135127871","0.7544002179623833","392456.66799824534","1.5078858566803985","0.00003672","0.36752664535102303","0.00000895",""
"2022-03-20","57.78185057932775","73.869618520057","33.888221503494975","0.5987936522269387","265116.0008756722","1.2553595947926586","0.0000304","0.29732200929299807","0.0000072",""
"2022-03-19","58.714979173919005","58.550284108523","33.705086703960646","-0.24745428197947553","322693.2758009632","1.3632610492357884","0.00003231","0.36876823182670354","0.00000874",""
"2022-03-18","58.2595319195094","36.506264807871","33.724949106377345","-0.5273488216540806","460113.4486367312","1.7244907656077877","0.00004123","0.46468814954893334","0.00001111",""
"2022-03-17","57.250511030769715","44.277736626767","33.81440762867819","-0.14484281527844128","422965.1312363527","1.5509885450642835","0.00003786","0.43383435531512843","0.00001059",""
"2022-03-16","57.0725033660624","26.581940574904","33.624512147912576","-0.3492683542096422","421369.32609388494","1.5224095081711604","0.00003704","0.41101768579135","0.00001",""
"2022-03-15","54.7034411328658","48.474254996742","33.61417911935207","-0.5884254666801652","391691.82454414637","1.4687962947501796","0.00003732","0.39947166108559273","0.00001015",""
"2022-03-14","54.87451861303615","45.041703935473","33.48204839043398","-0.8803957556123496","414475.78832813574","1.5712916662048504","0.00003963","0.4274167085967269","0.00001078",""
"2022-03-13","52.22280432727536","122.51062981478","33.39944440893236","-1.1873909818018222","254012.2650552938","1.2276360659912835","0.00003247","0.3334693594716083","0.00000882",""
"2022-03-12","53.413281008897386","54.568413568495","33.16591822812795","-1.4138336631297943","303498.42900385545","1.3664056409535694","0.00003508","0.40275468436316725","0.00001034",""
"2022-03-11","53.38212007070062","42.307230560132","33.25369144645399","-1.4127521880515732","425084.6416817272","1.685020815890904","0.0000434","0.5031767229019842","0.00001296",""
"2022-03-10","54.42453145708661","43.379406186994","33.37637090044319","-1.2121008201544738","456304.9829569139","1.7601190824709234","0.00004458","0.5282726182920806","0.00001338",""
"2022-03-09","57.61974874858715","18.009446006289","33.197714975341746","0.32557715675302484","477707.82355615345","1.7559968258463636","0.00004182","0.5315858396751546","0.00001266",""
"2022-03-08","53.6250516709944","58.501222989832","33.43544750439556","-0.4271569913841605","410493.9342308654","1.587744567723263","0.000041","0.3524018430800413","0.0000091",""
"2022-03-07","52.48828906082941","42.72461173779","33.246644916982476","-0.9369276529779028","430398.54292220884","1.6826524487922636","0.00004411","0.5252805309424047","0.00001377",""
"2022-03-06","52.493885887083955","99.578210658152","33.0506808098138","1.0249316012508345","358989.23160472733","1.7464021026680647","0.00004548","0.5913498764531265","0.0000154",""
"2022-03-05","52.84515758125858","43.246650776614","32.44764206546084","1.3165311046550785","441228.2293842161","1.9510776551403763","0.00004954","0.6852795962745771","0.0000174",""
"2022-03-04","52.231732630807784","31.739473051264","32.2984203048872","1.4577693429929535","593441.5786059609","2.3002387548025083","0.00005882","0.782128104319112","0.00002",""
"2022-03-03","56.048539424045565","28.332317245047","31.96403354153531","1.7601813952003773","860513.8573884469","3.177609673766534","0.00007478","1.1252086675760606","0.00002648",""
"2022-03-02","57.62595962122871","33.236458685826","31.734871710685503","2.485307862014958","1249452.104203009","4.309169785275461","0.00009797","1.742669254798548","0.00003962",""
"2022-03-01","57.55206082780096","17.430074370141","31.430524281123244","2.2896982708281164","903615.185691268","3.280306516522368","0.00007399","0.7058045647119353","0.00001592",""
"2022-02-28","55.86869827148115","14.836584128259","31.283450985434857","1.8229323396554316","413568.39058886986","1.5073877750846791","0.00003491","0.3095952548655729","0.00000717",""
"2022-02-27","48.640473217142436","65.955110348892","31.085463657853257","1.1523924905539418","258431.51092198113","1.2538605023269254","0.00003329","0.2508474300239508","0.00000666",""
"2022-02-26","49.905014528292746","78.757502980148","30.775547871943495","1.497032459139108","263340.2385477177","1.186148278485612","0.00003037","0.28823754676403746","0.00000738",""
"2022-02-25","50.07799463544671","28.930626096525","30.682779366163533","1.3253879273057292","449039.42781289073","1.720414946942943","0.00004375","0.38537294811521927","0.0000098",""
"2022-02-24","48.942863590229074","22.770789952382","30.80093355014035","-0.05088678791140226","398929.5370732907","1.559681620981717","0.00004074","0.3973857443738395","0.00001038",""
"2022-02-23","47.346816947004534","53.809156478501","30.57474385545913","1.2883717144786324","305175.89650503255","1.2035647493725279","0.00003226","0.2723503617612974","0.0000073",""
"2022-02-22","47.49168038705907","29.95113519205","29.958367690495397","1.7198217427577607","332638.0661370596","1.2981241469003626","0.00003398","0.32319394593222683","0.00000846",""
"2022-02-21","45.46581143094217","20.957250633913","29.53553646951131","1.0850353734992633","366395.8304225171","1.5354877103786695","0.00004139","0.41178819969082464","0.0000111",""
"2022-02-20","47.16243158707018","49.576111730214","29.519463812363693","-0.6276831482305892","224396.52426045935","1.1072025981076796","0.00002872","0.2467303839794272","0.0000064",""
"2022-02-19","48.719758796224845","30.731884142908","29.33806759112929","-0.2647697595187086","268355.71781283856","1.2309437410125186","0.0000307","0.2971105251108392","0.00000741",""
"2022-02-18","48.906243972410024","30.730161703579","29.49013454072368","-0.6346127837450606","367724.748052772","1.423171596061099","0.00003554","0.3443802961768557","0.0000086",""
"2022-02-17","49.68808190279625","22.03038689149","29.56303870252476","0.1492112177021739","409751.837518593","1.5992227554195633","0.00003938","0.41381614722512317","0.00001019",""
"2022-02-16","53.74316336038789","27.146066566134","29.516881710478295","0.5156911175765035","443069.4901979444","1.6564300113610961","0.00003759","0.4684184895123291","0.00001063",""
"2022-02-15","54.10007082232018","25.282498290504","29.406256512746204","0.6751653900411524","558029.338881246","2.0462124331942197","0.00004597","0.5563988561002338","0.0000125",""
"2022-02-14","51.47953732529147","26.661150667137","29.16470063034135","0.1125452830313342","479488.9394589846","1.9203566685147462","0.00004503","0.524974252485377","0.00001231",""
