"Date","Price (Close)","Price (Open)","Circulating Marketcap","Outstanding Marketcap","1 Day Active Supply","Supply in top 100 addresses","Supply in addresses with balance greater than $10M","Supply in addresses with balance greater than $1M","Supply in addresses with balance greater than $100K","Supply in addresses with balance greater than $10K"
"2022-03-22","42379.863589968874","41013.95813713974","778858633238.6416","804895791994.0564","445623.80529373","2937262.46790907","10808471.39101561","15369179.54100458","17326334.51548034","18540360.21201419"
"2022-03-21","41021.109948875026","41282.06177969676","783910726777.1256","779813454595.2155","397050.76601824","2937111.98395543","10777044.56884201","15342563.87119606","17311359.5327721","18531832.99895582"
"2022-03-20","41275.41981259763","42221.04326483812","801701064847.8367","784147246647.208","239587.184564","2943211.95715407","10778917.77650826","15345273.14079162","17313459.39876644","18532448.73812518"
"2022-03-19","42227.205980447165","41779.10738439339","793269562881.2831","801167113251.2291","303608.07587011","2944399.82855417","10802574.68495507","15366094.45045073","17323653.04810983","18537367.83572366"
"2022-03-18","41775.232182868385","40948.5989098453","777462383481.9958","794157105661.4315","421699.76622981","2941799.60660657","10795031.51846041","15359519.8822826","17318844.60113044","18534184.71165522"
"2022-03-17","40941.12350740129","41132.42290666642","780913157304.1189","777797289016.2968","523797.39865889","2944676.3644988","10772425.59861918","15337920.74011076","17308650.45179758","18528069.28141611"
"2022-03-16","41131.44820344736","39298.413021282475","746055298821.5402","780326259892.9254","452796.23049766","2946713.98445342","10774715.79628731","15339303.88726307","17309019.86451704","18527806.53460836"
"2022-03-15","39303.53847474247","39679.430088466725","753254461084.4081","747159778521.4589","363604.98740348","2948010.84916085","10691987.65941855","15241003.89580199","17278613.68523609","18508862.53217492"
"2022-03-14","39677.17881861952","37787.33214313397","717298712579.0192","752673129199.2288","287824.88190705","2944254.57868377","10695259.29560155","15246750.17284971","17281851.90930876","18510134.81693668"
"2022-03-13","37786.21011683803","38807.43806124058","736626761806.5494","717693726421.2742","237491.5234904","2938321.97221881","10652978.60108864","15210217.76431278","17259942.35934617","18497240.56761789"
"2022-03-12","38806.981301796586","38734.95530392653","735213893425.3223","739350326402.7109","386061.18868305","2938157.67177821","10680226.19731743","15235797.79358704","17273721.16106332","18504353.40263261"
"2022-03-11","38733.32931508335","39437.93930089414","748522465073.7814","736925253813.8165","496086.32404169","2939975.06868562","10675651.00125345","15233033.66458632","17272455.95140534","18502863.67571871"
"2022-03-10","39439.80579087697","41956.12004480551","796278908912.357","749359384983.7482","497946.33180046","2946688.66252485","10669633.41869135","15244000.36623081","17280979.02105102","18506937.65122798"
"2022-03-09","41957.16433036675","38744.42777025696","735292215157.0698","796906050430.487","426436.17755266","2946495.53560683","10794347.13723828","15364569.41237918","17319139.86158024","18529152.50913362"
"2022-03-08","38746.54612772212","38000.86636267071","721144797018.1166","734927448074.0189","375159.98728188","2957235.48408005","10679869.6476374","15237095.63721652","17273142.5017661","18501118.89325783"
"2022-03-07","38001.05209145175","38415.42636406674","728975932612.826","723908847546.8259","318079.56209473","2958425.01831722","10671295.07870437","15224083.96378612","17266271.35552278","18496445.51999862"
"2022-03-06","38418.00317690793","39404.93948295152","747721257459.7607","728667065433.831","237784.70222073","2956324.09597641","10673596.00247473","15228117.20479492","17269566.26189576","18497614.95442573"
"2022-03-05","39405.13029936343","39154.746200887384","742943180514.3472","747317522202.4407","383638.74144454","2956396.59643665","10701910.34548936","15253303.96935097","17281954.3250368","18504018.28129141"
"2022-03-04","39155.57228378007","42464.9797041639","805716723788.4021","742022224694.9856","484095.7361207","2955321.88059348","10695160.28303167","15247853.5116037","17279233.79141255","18501950.52227282"
"2022-03-03","42461.085343785024","43926.426048085625","833405363362.3728","806239776434.6935","448613.44072107","2965221.50261453","10812377.69305824","15379708.02209836","17326776.51328756","18528955.31092033"
"2022-03-02","43920.41706239912","44443.806081658004","843182866831.1284","834504066221.5271","436662.2974789","2958872.19881199","10848356.90004543","15411430.50226191","17342926.68932195","18536502.5853008"
"2022-03-01","44436.23988601215","43187.837918429956","819312413493.7704","841104392825.5334","700949.72828767","2955424.17730478","10856193.02814678","15415067.10948803","17345557.82199891","18537042.93428772"
"2022-02-28","43192.80633667073","37714.778105328485","715446738338.3921","819144394069.7399","605537.22627601","2960603.24393205","10833441.1360754","15396584.0063601","17334645.27794555","18530519.28070871"
"2022-02-27","37716.35255320594","39137.46150563251","742402655871.2627","714494212585.6721","263452.39903371","2971426.17683489","10671729.15396505","15227315.41081731","17264582.65878037","18489747.17703945"
"2022-02-26","39134.03307960534","39245.41756352508","744419560387.7289","740863193300.3043","400821.35010138","2974402.45665081","10704488.31382634","15255700.43524773","17282626.70523231","18498678.99602733"
"2022-02-25","39242.85668372231","38351.14047765344","727424029773.3964","745900830759.9186","461517.83016007","2972598.57935688","10712208.45782885","15261184.03193035","17286494.9684679","18500050.72495888"
"2022-02-24","38354.77806497152","37273.45231710615","706952263476.0752","726142231115.2036","379524.82765913","2984391.7864903","10692345.28796495","15241214.45656644","17274316.16836072","18492560.10224045"
"2022-02-23","37271.51012035594","38259.92032394575","725626400447.3799","707608386323.9312","336144.60418615","2973490.32139361","10674162.0669201","15229285.24407088","17263371.96425532","18486287.47364174"
"2022-02-22","38256.5522600743","37033.57866875988","702333227662.78","724534819639.9742","358782.54462294","2976784.05411802","10694533.76375964","15243049.44176936","17274317.82277856","18491411.62417186"
"2022-02-21","37033.98242645703","38403.9750804854","728292714598.4995","703550978541.0667","299659.42174462","2973578.54159191","10675505.88139907","15225761.643854","17262241.10574759","18484118.26542067"
"2022-02-20","38399.033716602586","40098.886763658855","760398197115.7701","731088089618.0752","235838.21456292","2972401.04703234","10708677.67127462","15255320.35892371","17280166.19075907","18493181.60195088"
"2022-02-19","40098.18822590741","39994.576165434046","758383872337.7562","760337246150.262","317753.59897138","2972391.52757501","10786374.9153032","15351933.05144024","17307249.21642099","18509272.91145547"
