"Date","Adjusted RVT","Volatility","Total Issuance","1 Day Active Supply","Miner Supply","Hash Rate","Miner Revenue per Hash","Miner Revenue per Hash per Second","Miner Revenue per Hash per Second (Native Units)","Addresses Count"
"2022-04-13","","0.4927645023684669","","","","","","","",""
"2022-02-12","98.014034528819","0.6483012330015689","49290230.66937829","385787.67384888","75900335690.80336","248110329.79467425","0.000002323228","0.200726894158","0.000004759555","40174387"
"2022-02-15","25.282498290504","0.6478741784434658","48684899.90877045","352842.74526797","80102155356.2719","232188811.92841446","0.000002454646","0.21208140409","0.000004764599","40183224"
"2022-03-01","17.430074370141","0.8079690492755772","44888638.3021881","700949.72828767","79774395678.16","225221260.2919661","0.000002353254","0.203321184814","0.000004586076","40528683"
"2022-04-04","41.350015566583","0.5399004050446734","46079716.624875784","351694.82254018","83945756867.62708","224529884.601845","0.000002405533","0.207838082497","0.000004454023","41397745"
"2022-03-26","61.643647879141","0.7762550144543934","44798176.40701522","386696.3203141","80125331659.73257","219713722.63981134","0.000002378752","0.205524139693","0.000004616453","41187920"
"2022-03-17","44.277736626767","0.8596613483379533","40710376.8266675","523797.39865889","73728548922.30786","217498770.49195018","0.000002188888","0.189119882677","0.000004616461","40861411"
"2022-04-09","65.015598163083","0.4967416345454629","40813701.215911","360022.62990709","76777442596.45177","217424508.94720334","0.000002190635","0.189270861764","0.000004434547","41601403"
"2022-04-12","16.304683329605","0.5012119241097371","38342150.919718005","388280.12505049","72115207297.70448","217424508.94720334","0.000002063344","0.178272901339","0.000004446111","41601479"
"2022-03-28","20.515898499839","0.7864291643120267","46928505.055493906","475499.2996883","84965589320.867","216984359.4181528","0.000002530118","0.218602198022","0.000004629083","41203129"
"2022-01-13","37.948879105799","0.48206336984831005","47688805.65781518","329382.86548729","76733691229.73264","216864310.83947846","0.0000025691","0.221970250691","0.000005207285","40005132"
"2022-02-28","14.836584128259","0.7206232161542208","41560032.46975089","605537.22627601","77694792809.43777","214099221.8569208","0.000002269067","0.196047423696","0.000004540315","40527746"
"2022-03-12","54.568413568495","0.8282596565020477","37977351.765385695","386061.18868305","70091448598.17764","213647371.40520012","0.000002073816","0.179177726094","0.000004600065","40691336"
"2022-02-17","22.03038689149","0.6778613045067506","39848586.30663907","389111.83858907","73087857208.99191","213573837.40352312","0.000002181695","0.1884984539","0.000004641673","40277701"
"2022-04-06","20.987362984424","0.5489023753618547","40598378.6240685","431246.53377068","77894840247.04744","213161283.96368802","0.000002228063","0.192504652973","0.000004445328","41480416"
"2022-03-25","20.184410017582","0.7837672914322219","43238358.42266948","429061.3144671","79810612196.12326","212890313.6030943","0.000002381353","0.205748914059","0.000004639519","41120201"
"2022-03-16","26.581940574904","0.8464185875742287","39817338.311037034","452796.23049766","73964487688.4684","212277837.84540358","0.000002193944","0.189556799926","0.000004611889","40824425"
"2022-01-16","79.678844541339","0.463756978338947","47215940.26094936","208503.59089331","77710286031.92526","212018180.6179535","0.000002592701","0.224009372378","0.000005189143","40146465"
"2022-03-19","58.550284108523","0.8450727337334931","40874625.23822872","303608.07587011","75940323592.76079","211525632.9748357","0.000002254199","0.194762771465","0.00000461598","40942890"
"2022-02-22","29.95113519205","0.6193802260751846","36292464.37773232","358782.54462294","68751003801.19774","211318714.25012627","0.000002005983","0.173316890432","0.000004536783","40325204"
"2022-03-20","73.869618520057","0.8087641344131075","39746171.38118204","239587.184564","74319407440.34451","210160950.38143575","0.000002203519","0.190384023813","0.000004610372","40994823"
"2022-02-13","97.818187945159","0.6385083313568892","41668149.81086347","182946.27347162","75937281798.4641","209633326.53317943","0.000002321032","0.20053712362","0.000004752561","40212754"
"2022-01-19","39.167565841837","0.45354843855124255","45182974.42640271","410173.9847014","75206239997.34358","209595115.507191","0.000002514963","0.217292779657","0.000005199919","40111242"
"2022-03-14","45.041703935473","0.8307792533392236","37914399.59143044","287824.88190705","71348611279.47183","209538768.75368094","0.000002117132","0.182920209027","0.000004613483","40747163"
"2022-03-21","35.48817645213","0.8063479088910904","39267860.851052046","397050.76601824","73903570267.28867","208796269.75317717","0.000002198466","0.189947442863","0.000004625596","41008577"
"2022-02-23","53.809156478501","0.6167787514742762","34976501.93852278","336144.60418615","67144208313.15468","208538204.64136493","0.000001958168","0.169185679409","0.000004534804","40361141"
"2022-01-01","98.989648067972","0.6229711903492928","51127010.08527181","296377.42755939","85646521990.72977","207532476.14266497","0.000002875726","0.24846269543","0.000005224194","39802613"
"2022-02-19","30.731884142908","0.7066490670547507","37339295.07550189","317753.59897138","72155197782.0267","207147948.8360009","0.00000210127","0.181549713645","0.000004527889","40250859"
"2022-02-06","44.998475876451","0.6442115000159848","41299269.54395824","253018.18361722","76218261227.9942","206979739.90370578","0.000002333985","0.201656298201","0.000004760735","40378945"
"2022-02-16","27.146066566134","0.6633183271849457","42964066.53570281","331266.069582","79301903418.7474","206979739.90370578","0.000002427278","0.20971683531","0.000004759184","40237027"
"2022-03-13","122.51062981478","0.8256022055139877","35681599.54663609","237491.5234904","68039637685.09121","206799699.66195828","0.000002011228","0.173770135404","0.000004596082","40725016"
"2022-03-29","27.527881319981","0.7849275978753651","44793876.00775312","538126.58529026","85386701580.96191","206066906.5315186","0.000002542917","0.219707999935","0.000004628968","41254919"
"2022-04-05","35.150818691887","0.5341260719177591","41409313.02489409","437797.73455954","82183028160.6489","206055906.26269802","0.000002354677","0.203444080929","0.000004452409","41455556"
"2022-03-03","28.332317245047","0.8237489280547421","39305816.3711426","448613.44072107","76460727849.90189","204804563.21490383","0.000002269911","0.1961202895","0.00000461538","40500430"
"2022-01-20","40.026079303526","0.46927019378884993","43048658.259734765","405209.42506315","73354638073.74239","204748985.28566605","0.000002456652","0.212254741162","0.000005207922","40144082"
"2022-02-08","25.916370513058","0.6508313580970265","42511165.61476843","397797.31566106","79473247731.75856","204326153.27423212","0.000002444697","0.211221800827","0.000004782296","40410566"
"2022-01-28","25.555369064399","0.5162729230006338","36352515.70299897","437151.78782098","67963642977.427414","203963747.27811924","0.00000209008","0.180582912552","0.000004781266","40305735"
"2022-02-01","29.500863334055","0.5058198517604375","37333415.4293176","532823.0528519","69796239387.2085","203963747.27811924","0.000002150083","0.185767196971","0.0000047893","40315377"
"2022-03-22","29.099609418097","0.8155863220158901","39469326.614346184","445623.80529373","76277801780.00188","203337543.30986008","0.000002272594","0.196352096666","0.000004632785","41069829"
"2022-02-14","26.661150667137","0.6387199148748515","40780392.27775319","272423.09248254","76746476152.01431","202999360.9147864","0.000002352445","0.203251286267","0.000004765992","40225026"
"2022-03-07","42.72461173779","0.7587535939283337","35285729.2027396","318079.56209473","68637448133.051476","202691097.01043913","0.000002039464","0.176209652385","0.000004619259","40584020"
"2022-03-08","58.501222989832","0.7700183417407934","35821066.466927275","375159.98728188","69683499508.03755","202691097.01043913","0.000002068896","0.178752599081","0.000004615891","40560668"
"2022-02-02","47.864462266585","0.5122702691344321","35326103.77904481","461999.78908683","66475240418.76224","202639308.20286623","0.000002043399","0.176549671011","0.000004779062","40314739"
"2022-01-25","31.793632420048","0.5492509609470138","35104957.4345704","418773.71120066","66494732887.02583","201314869.12761322","0.000002041141","0.176354540274","0.000004772455","40222984"
"2022-01-15","60.704422484252","0.4711285251522421","44826924.77434616","285237.33945016","77771298065.01917","201114388.49182567","0.000002598359","0.224498182051","0.000005195914","40081209"
"2022-04-01","19.096355754844","0.6145531735192977","40758108.853662","506575.64183003","83143688696.12851","200371606.9667937","0.000002406689","0.207937962827","0.000004495923","41359489"
